house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,SecurityDeposit,Status,price_per_sqft,size_bucket,property_id
2 BHK Independent Floor ,650,Mansa Ram Park,Delhi,28.61807823,77.04087067,12500,INR,2.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,19.23076923076923,Medium,60
3 BHK Independent Floor ,2250,Paschim Vihar,Delhi,28.66526985,77.0896225,65000,INR,3.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,28.88888888888889,Large,61
3 BHK Apartment ,2000,Sector 23 Dwarka,Delhi,28.56251144,77.05653381,40000,INR,2.0,0.0,Unknown,,Posted a year ago,No Deposit,Semi-Furnished,20.0,Large,62
3 BHK Independent Floor ,2700,Safdarjung Enclave,Delhi,28.56470108,77.19415283,95000,INR,4.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,35.18518518518518,Large,63
2 BHK Apartment ,1100,Sector 19 Dwarka,Delhi,28.57617188,77.04163361,25000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,22.727272727272727,Large,64
1 RK Studio Apartment ,400,Gautam Nagar,Delhi,28.56038666,77.21283722,14000,INR,1.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Furnished,35.0,Small,65
3 BHK Apartment ,1800,Sector 22 Dwarka,Delhi,28.55782318,77.05976868,30000,INR,3.0,0.0,Unknown,,Posted a year ago,No Deposit,Semi-Furnished,16.666666666666668,Large,66
2 BHK Apartment ,950,Sheikh Sarai,Delhi,28.53419876,77.21559143,22000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,23.157894736842106,Medium,67
2 BHK Independent Floor ,500,Govindpuri,Delhi,28.53511238,77.26423645,13000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,26.0,Medium,68
3 BHK Apartment ,1700,Sector 13 Dwarka,Delhi,28.60261345,77.03928375,33000,INR,3.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,19.41176470588235,Large,69
4 BHK Independent Floor ,2300,Paschim Vihar,Delhi,28.66526985,77.0896225,45000,INR,3.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,19.565217391304348,Large,70
3 BHK Independent Floor ,1800,Pitampura,Delhi,28.69649315,77.13860321,58000,INR,3.0,0.0,Unknown,,Posted 10 days ago,No Deposit,Semi-Furnished,32.22222222222222,Large,71
3 BHK Independent Floor ,2000,Defence Colony,Delhi,28.57302666,77.23272705,120000,INR,3.0,0.0,Unknown,,Posted a year ago,No Deposit,Furnished,60.0,Large,72
3 BHK Apartment ,1800,Sector 22 Dwarka,Delhi,28.55642891,77.06002045,60000,INR,2.0,0.0,Unknown,,Posted 2 months ago,No Deposit,Semi-Furnished,33.333333333333336,Large,73
1 BHK Independent Floor ,700,Uttam Nagar,Delhi,28.61945724,77.05670929,8500,INR,1.0,0.0,Unknown,,Posted a month ago,No Deposit,Semi-Furnished,12.142857142857142,Medium,74
1 BHK Independent Floor ,500,Sector 19 Dwarka,Delhi,28.57611275,77.04671478,12000,INR,1.0,0.0,Unknown,,Posted 14 days ago,No Deposit,Semi-Furnished,24.0,Medium,75
3 BHK Independent Floor ,1125,Malviya Nagar,Delhi,28.5332737,77.20761871,29500,INR,2.0,0.0,Unknown,,Posted a year ago,No Deposit,Unfurnished,26.22222222222222,Large,76
2 BHK Independent Floor ,900,Shalimar Bagh,Delhi,28.71339226,77.15860748,32000,INR,2.0,0.0,Unknown,,Posted a year ago,No Deposit,Semi-Furnished,35.55555555555556,Medium,77
3 BHK Independent Floor ,840,Sector 23 Rohini,Delhi,28.72143745,77.08004761,15000,INR,2.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,17.857142857142858,Medium,78
